brand,model,url,category,source,sourceType,sourceId
Nabi,FGC63,https://www.kmart.com/nabi-hot-wheels-7-inch-android-tablet/p-020W002321066002P?plpSellerId=Kmart&prdNo=8&blockNo=8&blockType=G8,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKB,https://www.kmart.com/linsay-7inch-new-quad-core-1024-x-600/p-00350406000P?plpSellerId=Kmart&prdNo=5&blockNo=5&blockType=G5,Android Tablets,Kmart,retailer,5
Nabi,FGC61,https://www.kmart.com/nabi-barbie-7-inch-android-tablet/p-020W002298138001P?plpSellerId=Kmart&prdNo=9&blockNo=9&blockType=G9,Android Tablets,Kmart,retailer,5
Ematic,EGQ223BL,https://www.kmart.com/ematic-10inch-quad-core-tablet-with-16gb-and/p-020W008428717001P?plpSellerId=Kmart&prdNo=3&blockNo=3&blockType=G3,Android Tablets,Kmart,retailer,5
LINSAY,F7XHD,https://www.kmart.com/linsay-7inch-new-quad-core-1024-x-600/p-00350122000P?plpSellerId=Kmart&prdNo=10&blockNo=10&blockType=G10,Android Tablets,Kmart,retailer,5
Ematic,FUNTAB3-RD,https://www.kmart.com/ematic-7inch-hd-kid-safe-tablet-with-android/p-00360040000P?plpSellerId=Kmart&prdNo=1&blockNo=1&blockType=G1,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBK,https://www.kmart.com/linsay-7inch-new-dual-core-cpu-1024-x/p-00304497000P?plpSellerId=Kmart&prdNo=13&blockNo=13&blockType=G13,Android Tablets,Kmart,retailer,5
Ematic,EGQ178BL,https://www.kmart.com/ematic-7.9inch-hd-quad-core-tablet-with-8gb/p-00352561000P?plpSellerId=Sears&prdNo=11&blockNo=11&blockType=G11,Android Tablets,Kmart,retailer,5
Worryfree,7DRK-Q-YELLOW,https://www.kmart.com/zeepad-new-7inch-zeepad-7drk-q-android-4.4/p-SPM9341754617?plpSellerId=Tablet World&prdNo=12&blockNo=12&blockType=G12,Android Tablets,Kmart,retailer,5
Visual,8QIDC16BL,https://www.kmart.com/visual-land-prestige-elite-8qi-leopard-8inch-quadcore/p-00305937000P?plpSellerId=Kmart&prdNo=16&blockNo=16&blockType=G16,Android Tablets,Kmart,retailer,5
Sungale,ID1032WTA,https://www.kmart.com/sungale-cyberus-10inch-quad-core-android-tablet/p-00305371000P?plpSellerId=Kmart&prdNo=14&blockNo=14&blockType=G14,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-16GB-F-RYL,https://www.kmart.com/visual-land-prestige-elite-famtab-royal-blue-7inch/p-00350590000P?plpSellerId=Kmart&prdNo=15&blockNo=15&blockType=G15,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBDS,https://www.kmart.com/linsay-10.1inch-quadcore-new-bundle-deluxe-with-silver/p-00357617000P?plpSellerId=Kmart&prdNo=17&blockNo=17&blockType=G17,Android Tablets,Kmart,retailer,5
Visual,ME10QL16KCPRP,https://www.kmart.com/visual-land-prestige-elite-10ql-quad-core-16gb/p-00305545000P?plpSellerId=Kmart&prdNo=4&blockNo=4&blockType=G4,Android Tablets,Kmart,retailer,5
Samsung,SM-T350NZAAXAR,https://www.kmart.com/samsung-galaxy-tab-a-8.0inch-tablet-w-16gb/p-00312719000P?plpSellerId=Kmart&prdNo=7&blockNo=7&blockType=G7,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBKCOBROWN,https://www.kmart.com/linsay-10.1inch-quadcore-exclusive-luxury-bundle-with-brown/p-00305762000P?plpSellerId=Kmart&prdNo=2&blockNo=2&blockType=G2,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKSPINK,https://www.kmart.com/linsay-7inch-new-quadcore-exclusive-bundle-with-pink/p-00357629000P?plpSellerId=Kmart&prdNo=6&blockNo=6&blockType=G6,Android Tablets,Kmart,retailer,5
Visual,ME9Q8KC-PRP,https://www.kmart.com/visual-land-prestige-elite-9q-purple-9inch-tablet/p-00350592000P?plpSellerId=Kmart&prdNo=18&blockNo=18&blockType=G18,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBCNYS,https://www.kmart.com/linsay-7inch-new-quadcore-exclusive-bundle-with-new/p-00357620000P?plpSellerId=Kmart&prdNo=21&blockNo=21&blockType=G21,Android Tablets,Kmart,retailer,5
LINSAY,F10XHD,https://www.kmart.com/linsay-10.1-new-quad-core-1024-x-600/p-00350123000P?plpSellerId=Kmart&prdNo=19&blockNo=19&blockType=G19,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBKCOBLACK,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359819000P?plpSellerId=Kmart&prdNo=22&blockNo=22&blockType=G22,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBK,https://www.kmart.com/linsay-10.1-new-quad-core-1024-x-600/p-00350407000P?plpSellerId=Kmart&prdNo=20&blockNo=20&blockType=G20,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBCEP,https://www.kmart.com/linsay-10.1inch-linsay-f-10hd2core-bundle-dual-core/p-00304498000P?plpSellerId=Kmart&prdNo=24&blockNo=24&blockType=G24,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDKIDSBLUE,https://www.kmart.com/linsay-new-linsay-10.1-inch-f-10xhd4kids-with/p-00351498000P?plpSellerId=Kmart&prdNo=25&blockNo=25&blockType=G25,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKR,https://www.kmart.com/linsay-7inch-new-dual-core-cpu-bundle-1024/p-00304824000P?plpSellerId=Kmart&prdNo=26&blockNo=26&blockType=G26,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPS,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359822000P?plpSellerId=Kmart&prdNo=27&blockNo=27&blockType=G27,Android Tablets,Kmart,retailer,5
Ematic,FUNTAB2-RD,https://www.kmart.com/ematic-funtab-7inch-hd-quad-core-kids-tablet/p-00350104000P?plpSellerId=Sears&prdNo=28&blockNo=28&blockType=G28,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKPURPLE,https://www.kmart.com/linsay-7inch-new-quadcore-exclusive-bundle-with-purple/p-00305763000P?plpSellerId=Kmart&prdNo=29&blockNo=29&blockType=G29,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBCBLUE,https://www.kmart.com/linsay-10.1inch-new-quad-core-w-blue-leather/p-00305796000P?plpSellerId=Kmart&prdNo=30&blockNo=30&blockType=G30,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDKIDSPINK,https://www.kmart.com/linsay-10.1inch-new-kids-funny-tab-with-pink/p-00357735000P?plpSellerId=Kmart&prdNo=31&blockNo=31&blockType=G31,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBP,https://www.kmart.com/linsay-7inch-new-quad-core-1024-x-600/p-00350404000P?plpSellerId=Kmart&prdNo=33&blockNo=33&blockType=G33,Android Tablets,Kmart,retailer,5
