brand,model,category,source,sourceType,sourceId
Samsung,UN82NU800DFXZA,Televisions,Costco,retailer,3
LG,75SK8070AUB,Televisions,Costco,retailer,3
LG,OLED55C8AUA,Televisions,Costco,retailer,3
LG,OLED65C8AUA,Televisions,Costco,retailer,3
Samsung,UN82MU800DFXZA,Televisions,Costco,retailer,3
Vizio,P75-F,Televisions,Costco,retailer,3
LG,75SJ857A,Televisions,Costco,retailer,3
Samsung,QN65Q65FNFXZA,Televisions,Costco,retailer,3
Samsung,UN75NU710DFXZA,Televisions,Costco,retailer,3
Samsung,UN75MU6070FXZA,Televisions,Costco,retailer,3
TCL,75C807,Televisions,Costco,retailer,3
LG,75UK6570AUA,Televisions,Costco,retailer,3
Samsung,UN65NU800DFXZA,Televisions,Costco,retailer,3
LG,65SK8000AUB,Televisions,Costco,retailer,3
Samsung,QN75Q65FNFXZA,Televisions,Costco,retailer,3
Samsung,UN75NU800DFXZA,Televisions,Costco,retailer,3
LG,70UK6570AUA,Televisions,Costco,retailer,3
Samsung,QN49Q65FNFXZA,Televisions,Costco,retailer,3
Samsung,QN55Q65FNFXZA,Televisions,Costco,retailer,3
Hisense,65H9050E Plus,Televisions,Costco,retailer,3
Samsung,UN65NU710DFXZA,Televisions,Costco,retailer,3
Samsung,UN55NU800DFXZA,Televisions,Costco,retailer,3
Vizio,M65-F,Televisions,Costco,retailer,3
LG,65UK7700AUB,Televisions,Costco,retailer,3
LG,65UK6500AUA,Televisions,Costco,retailer,3
Vizio,E65-F,Televisions,Costco,retailer,3
Vizio,E80-E,Televisions,Costco,retailer,3
TCL,65C807,Televisions,Costco,retailer,3
Hisense,65R7050E,Televisions,Costco,retailer,3
LG,60UJ6050,Televisions,Costco,retailer,3
LG,55UK6500AUA,Televisions,Costco,retailer,3
Samsung,UN49MU800DFXZA,Televisions,Costco,retailer,3
Hisense,55H9050E Plus,Televisions,Costco,retailer,3
Samsung,UN43NU710DFXZA,Televisions,Costco,retailer,3
Samsung,UN50NU710DFXZA,Televisions,Costco,retailer,3
Vizio,E55-F,Televisions,Costco,retailer,3
Hisense,55R7050E,Televisions,Costco,retailer,3
Vizio,D32f-F,Televisions,Costco,retailer,3
Hisense,40H5050E,Televisions,Costco,retailer,3
Vizio,,Sound Bars,Costco,retailer,3
Bose,,Sound Bars,Costco,retailer,3
Vizio,,Sound Bars,Costco,retailer,3
,,Sound Bars,Costco,retailer,3
Yamaha,ATS-1070,Sound Bars,Costco,retailer,3
LG,43UK6500AUA,Televisions,Costco,retailer,3
Vizio,D48f-F,Televisions,Costco,retailer,3
LG,50UK6500AUA,Televisions,Costco,retailer,3
Vizio,D40f-F,Televisions,Costco,retailer,3
Samsung,UN43J5202AFXZA,Televisions,Costco,retailer,3
,,Sound Bars,Costco,retailer,3
,,Streaming Media Players,Costco,retailer,3
,,Streaming Media Players,Costco,retailer,3
Samsung,,Sound Bars,Costco,retailer,3
Apple,,Streaming Media Players,Costco,retailer,3
,,Streaming Media Players,Costco,retailer,3
Samsung,UN32N5300AFXZA,Televisions,Costco,retailer,3
Bose,,Home Theater Systems,Costco,retailer,3
Samsung,BD-JM57C,Streaming Media Players,Costco,retailer,3
,,Home Theater Systems,Costco,retailer,3
Samsung,,Home Theater Systems,Costco,retailer,3
Yamaha,TSR-7810,Home Theater Systems,Costco,retailer,3
Vizio,,Home Theater Systems,Costco,retailer,3
Bose,,Home Theater Systems,Costco,retailer,3
Yamaha,ATS-1070,Home Theater Systems,Costco,retailer,3
Vizio,,Home Theater Systems,Costco,retailer,3
,,Home Theater Systems,Costco,retailer,3
Samsung,SM-P580NZWAXAR,Android Tablets,Costco,retailer,3
Samsung,SM-T813NZDSXAR,Android Tablets,Costco,retailer,3
Samsung,SM-T813NZKSXAR,Android Tablets,Costco,retailer,3
Samsung,SM-T580NZKMXAR,Android Tablets,Costco,retailer,3
Bose,,Sound Bars,Costco,retailer,3
,,Android Tablets,Costco,retailer,3
